Epic,Story,Planned Start,Planned Completion,Responsibility
Parts,Legacy Data Migration (HD),03-Oct-25,28-Nov-25,Arunraj
Parts,Legacy Data Migration (All models except HD),03-Oct-25,12-Dec-25,Arunraj
Parts,SPINE Application (Parts Management),01-Oct-25,10-Jan-26,Arunraj
Parts,Interactive 3D Parts Catalog,10-Oct-25,28-Aug-26,Arunraj
Parts,Collision Search,01-Oct-25,30-May-26,Arunraj
Parts,Flat Rate Manual (HD),06-Oct-25,16-Jan-26,Arunraj
Parts,Flat Rate Manual (All models except HD),06-Oct-25,06-Feb-26,Arunraj
Parts,Parts - GenAI Assist,03-Nov-25,30-Jun-26,Arunraj
Parts,Parts - Content management System,01-Aug-25,20-Feb-26,Arunraj
Service,Operator's Manuals,23-Sep-25,15-Jan-26,Aishwarya
Service,Shop Manuals,23-Sep-25,29-FEB-26,Aishwarya
Service,Special Tool Manuals,23-Sep-25,31-Jan-26,Aishwarya
Service,Service Bulletins,23-Sep-25,15-Dec-25,Aishwarya
Service,Service AR,05-Oct-25,15-Mar-26,Aishwarya
Service,AI Assist,01-Nov-25,15-Mar-26,Aishwarya
Service,Service - Content management System,10-Oct-25,04-Jan-26,Aishwarya
Service,Service - GenAI Assist for Content Creation,01-Nov-25,31-Mar-26,Aishwarya
Diagnostics,Wiring Manual,16-Dec-25,31-Mar-26,Chandramohan
Diagnostics,DTC Manual,15-Aug-25,10-Mar-26,Chandramohan
Diagnostics,Symptom Based Troubleshooting,25-Dec-25,25-Jan-26,Chandramohan
Diagnostics,Remote Assistant,02-Dec-25,22-Dec-25,Chandramohan
Diagnostics,Diagnostics - Content management System,15-Aug-25,25-Jan-26,Chandramohan
Diagnostics,Diagnostics - GenAI Assist for Content Creation,01-Nov-25,31-Mar-26,Chandramohan
Training,Driver Training Manual,20-Dec-25,31-Mar-26,Vinoth
Training,Technical Training Manual,20-Dec-25,31-Mar-26,Vinoth
Training,Wallcharts,20-Dec-25,05-Jan-26,Vinoth
Training,Pocket guides,20-Dec-25,05-Jan-26,Vinoth
Training,Special Tool Manuals,23-Sep-25,31-Jan-26,Vinoth
Training,3D Learning Videos,08-Nov-25,12-Nov-25,Vinoth
